timestamp,warp_x,warp_y,aspect_ratio,left_z,right_z,risk
2026-06-06 19:23:37,934.7,234.8,0.712,60,340,STABLE
2026-06-06 19:23:38,668.7,169.5,1.172,60,340,STABLE
2026-06-06 19:23:38,668.7,169.5,1.172,60,340,STABLE
2026-06-06 19:23:38,668.7,169.5,1.172,60,340,STABLE
2026-06-06 19:23:38,932.1,226.4,0.704,60,340,STABLE
2026-06-06 19:23:38,932.1,226.4,0.704,60,340,FALL IMMINENT
2026-06-06 19:23:38,932.1,226.4,0.704,60,340,FALL IMMINENT
2026-06-06 19:23:39,931.4,232.4,0.699,60,340,FALL IMMINENT
2026-06-06 19:23:39,931.4,232.4,0.699,60,340,FALL IMMINENT
2026-06-06 19:23:39,931.4,232.4,0.699,60,340,FALL IMMINENT
2026-06-06 19:23:39,938.9,238.5,0.727,60,340,FALL IMMINENT
2026-06-06 19:23:39,938.9,238.5,0.727,60,340,FALL IMMINENT
2026-06-06 19:23:39,938.9,238.5,0.727,60,340,FALL IMMINENT
2026-06-06 19:23:39,935.6,226.2,0.725,60,340,FALL IMMINENT
2026-06-06 19:23:39,935.6,226.2,0.725,60,340,FALL IMMINENT
2026-06-06 19:23:40,935.6,226.2,0.725,60,340,FALL IMMINENT
2026-06-06 19:23:40,928.3,236.5,0.702,60,340,FALL IMMINENT
2026-06-06 19:23:40,928.3,236.5,0.702,60,340,FALL IMMINENT
2026-06-06 19:23:40,928.3,236.5,0.702,60,340,FALL IMMINENT
2026-06-06 19:23:40,939.6,250.5,0.716,60,340,FALL IMMINENT
2026-06-06 19:23:40,939.6,250.5,0.716,60,340,FALL IMMINENT
2026-06-06 19:23:41,939.6,250.5,0.716,60,340,FALL IMMINENT
2026-06-06 19:23:41,940.9,245.3,0.733,60,340,FALL IMMINENT
2026-06-06 19:23:41,940.9,245.3,0.733,60,340,FALL IMMINENT
2026-06-06 19:23:41,940.9,245.3,0.733,60,340,FALL IMMINENT
2026-06-06 19:23:41,921.4,231.2,0.697,60,340,FALL IMMINENT
2026-06-06 19:23:41,921.4,231.2,0.697,60,340,FALL IMMINENT
2026-06-06 19:23:41,921.4,231.2,0.697,60,340,FALL IMMINENT
2026-06-06 19:23:41,918.0,227.6,0.693,60,340,FALL IMMINENT
2026-06-06 19:23:41,918.0,227.6,0.693,60,340,FALL IMMINENT
